name,score1,score2,moves1,moves2,time1,time2
Max - Gain | VERTICAL - HORIZONTAL,988,984,186,185,0,1
Gain - Max | HORIZONTAL - VERTICAL,1018,1024,200,199,1,0
Gain - Max | VERTICAL - HORIZONTAL,674,668,107,106,1,0
Avg - Gain | HORIZONTAL - VERTICAL,1047,995,200,199,1,2
Avg - Gain | VERTICAL - HORIZONTAL,1034,987,198,197,0,2
Gain - Avg | HORIZONTAL - VERTICAL,998,1044,200,199,1,1
Gain - Avg | VERTICAL - HORIZONTAL,795,786,136,135,1,1
Avg - Max | HORIZONTAL - VERTICAL,1010,989,189,188,1,0
Avg - Max | VERTICAL - HORIZONTAL,992,978,181,180,1,1
Max - Avg | HORIZONTAL - VERTICAL,1019,1023,200,199,0,1
Max - Avg | VERTICAL - HORIZONTAL,1014,1013,195,194,0,1
Max - Gain | HORIZONTAL - VERTICAL,1017,994,200,199,0,0
Max - Gain | VERTICAL - HORIZONTAL,1019,992,200,199,0,2
Gain - Max | HORIZONTAL - VERTICAL,966,957,181,180,1,0
Gain - Max | VERTICAL - HORIZONTAL,612,602,97,96,1,0
Avg - Gain | HORIZONTAL - VERTICAL,1015,967,196,195,0,1
Avg - Gain | VERTICAL - HORIZONTAL,865,840,158,157,0,2
Gain - Avg | HORIZONTAL - VERTICAL,887,899,169,168,2,0
Gain - Avg | VERTICAL - HORIZONTAL,666,671,113,112,0,0
Avg - Max | HORIZONTAL - VERTICAL,1016,995,200,199,2,0
Avg - Max | VERTICAL - HORIZONTAL,1003,986,194,193,0,0
Max - Avg | HORIZONTAL - VERTICAL,995,1016,200,199,0,1
Max - Avg | VERTICAL - HORIZONTAL,974,984,186,185,0,1
Max - Gain | HORIZONTAL - VERTICAL,1000,988,195,194,2,0
